team_name,Conf
Seattle U,WAC
UTRGV,WAC
Chicago St.,WAC
Gonzaga,WCC
St. Mary's (CA),WCC
BYU,WCC
San Francisco,WCC
Santa Clara,WCC
Loyola Marymount,WCC
San Diego,WCC
Pepperdine,WCC
Pacific,WCC
Portland,WCC
